,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
700,2017-12-15,2017,Star Wars Ep. VIII: The Last Jedi,Adventure,Animation/Live Action,Science Fiction,200000000,620181382,712358507,1332539889.0,December
701,2017-03-17,2017,Beauty and the Beast,Musical,Animation/Live Action,Fantasy,160000000,504014165,752128924,1256143089.0,March
702,2017-06-02,2017,Wonder Woman,Action,Live Action,Super Hero,150000000,412563408,406229647,818793055.0,June
703,2017-12-20,2017,Jumanji: Welcome to the Jungle,Adventure,Live Action,Science Fiction,90000000,404508916,556721277,961230193.0,December
704,2017-05-05,2017,Guardians of the Galaxy Vol 2,Action,Animation/Live Action,Super Hero,200000000,389813101,479300000,869113101.0,May
705,2017-07-07,2017,Spider-Man: Homecoming,Action,Live Action,Super Hero,175000000,334201140,545965210,880166350.0,July
706,2017-09-08,2017,It,Horror,Live Action,Historical Fiction,35000000,328828874,372891173,701720047.0,September
707,2017-11-03,2017,Thor: Ragnarok,Action,Live Action,Super Hero,180000000,315058289,536799748,851858037.0,November
708,2017-06-30,2017,Despicable Me 3,Adventure,Digital Animation,Kids Fiction,75000000,264624300,767972594,1032596894.0,June
709,2017-11-17,2017,Justice League,Action,Live Action,Super Hero,300000000,229024295,426920914,655945209.0,November
710,2017-03-03,2017,Logan,Action,Live Action,Super Hero,127000000,226277068,387925247,614202315.0,March
711,2017-04-14,2017,The Fate of the Furious,Action,Live Action,Contemporary Fiction,250000000,225764765,1010939031,1236703796.0,April
712,2017-11-22,2017,Coco,Musical,Digital Animation,Kids Fiction,175000000,209936015,587870055,797806070.0,November
713,2017-07-21,2017,Dunkirk,Action,Live Action,Dramatization,150000000,190068280,330087094,520155374.0,July
714,2017-02-24,2017,Get Out,Horror,Live Action,Contemporary Fiction,5000000,176040665,76737392,252778057.0,February
715,2017-02-10,2017,The Lego Batman Movie,Adventure,Digital Animation,Kids Fiction,80000000,175750384,134820176,310570560.0,February
716,2017-03-31,2017,The Boss Baby,Adventure,Digital Animation,Kids Fiction,125000000,175003033,352962903,527965936.0,March
717,2017-12-20,2017,The Greatest Showman,Musical,Live Action,Dramatization,84000000,174340174,263499822,437839996.0,December
718,2017-05-26,2017,Pirates of the Caribbean: Dead Men Te…,Adventure,Animation/Live Action,Fantasy,230000000,172558876,615682261,788241137.0,May
719,2017-03-10,2017,Kong: Skull Island,Adventure,Live Action,Science Fiction,185000000,168052812,393019247,561072059.0,March
720,2017-06-16,2017,Cars 3,Adventure,Digital Animation,Kids Fiction,175000000,152901115,230640254,383541369.0,June
721,2017-07-14,2017,War for the Planet of the Apes,Action,Animation/Live Action,Science Fiction,152000000,146880162,342712105,489592267.0,July
722,2017-01-20,2017,Split,Horror,Live Action,Contemporary Fiction,5000000,138141585,140823221,278964806.0,January
723,2017-11-17,2017,Wonder,Drama,Live Action,Dramatization,20000000,132422809,180332406,312755215.0,November
724,2017-06-21,2017,Transformers: The Last Knight,Action,Animation/Live Action,Science Fiction,217000000,130168683,472724657,602893340.0,June
725,2017-07-21,2017,Girls Trip,Comedy,Live Action,Contemporary Fiction,28000000,115108515,25777838,140886353.0,July
726,2017-02-10,2017,Fifty Shades Darker,Drama,Live Action,Contemporary Fiction,55000000,114434010,266933036,381367046.0,February
727,2017-06-28,2017,Baby Driver,Thriller/Suspense,Live Action,Contemporary Fiction,34000000,107825862,120278323,228104185.0,June
728,2017-12-22,2017,Pitch Perfect 3,Comedy,Live Action,Contemporary Fiction,45000000,104897530,80838882,185736412.0,December
729,2017-11-10,2017,Daddyâs Home 2,Comedy,Live Action,Contemporary Fiction,70000000,104029443,71777740,175807183.0,November
730,2017-11-10,2017,Murder on the Orient Express,Drama,Live Action,Historical Fiction,55000000,102826543,248940604,351767147.0,November
731,2017-08-11,2017,Annabelle: Creation,Horror,Live Action,Contemporary Fiction,15000000,102092201,203292664,305384865.0,August
732,2017-09-22,2017,Kingsman: The Golden Circle,Action,Live Action,Contemporary Fiction,104000000,100234838,308568858,408803696.0,September
733,2017-10-06,2017,Blade Runner 2049,Thriller/Suspense,Live Action,Science Fiction,185000000,92054159,166420574,258474733.0,October
734,2017-02-10,2017,John Wick: Chapter Two,Action,Live Action,Contemporary Fiction,40000000,92029184,79288087,171317271.0,February
735,2017-07-28,2017,The Emoji Movie,Adventure,Digital Animation,Kids Fiction,50000000,86089513,130475327,216564840.0,July
736,2017-03-24,2017,Power Rangers,Action,Animation/Live Action,Kids Fiction,120000000,85364450,57167102,142531552.0,March
737,2017-12-15,2017,Ferdinand,Adventure,Digital Animation,Kids Fiction,111000000,84410380,205428533,289838913.0,December
738,2017-12-22,2017,The Post,Drama,Live Action,Dramatization,50000000,81903458,97865999,179769457.0,December
739,2017-06-09,2017,The Mummy,Adventure,Live Action,Historical Fiction,195000000,80101125,329852780,409953905.0,June
740,2017-08-18,2017,The Hitmanâs Bodyguard,Action,Live Action,Contemporary Fiction,30000000,75468583,97310084,172778667.0,August
741,2017-05-19,2017,Alien: Covenant,Horror,Live Action,Science Fiction,97000000,74262031,164259216,238521247.0,May
742,2017-06-02,2017,Captain Underpants: The First Epic Movie,Adventure,Digital Animation,Kids Fiction,38000000,73921000,52656874,126577874.0,June
743,2017-11-01,2017,A Bad Moms Christmas,Comedy,Live Action,Contemporary Fiction,28000000,72110659,55599891,127710550.0,November
744,2017-01-27,2017,A Dogâs Purpose,Drama,Live Action,Contemporary Fiction,25000000,64321890,138733537,203055427.0,January
745,2017-12-01,2017,The Shape of Water,Drama,Live Action,Historical Fiction,19500000,63859435,131931359,195790794.0,December
746,2017-09-22,2017,The Lego Ninjago Movie,Adventure,Digital Animation,Kids Fiction,70000000,59281555,63455646,122737201.0,September
747,2017-05-25,2017,Baywatch,Comedy,Live Action,Contemporary Fiction,60000000,58060186,117803597,175863783.0,May
748,2017-03-03,2017,The Shack,Drama,Live Action,Contemporary Fiction,20000000,57386418,39522040,96908458.0,March
749,2017-11-22,2017,Darkest Hour,Drama,Live Action,Dramatization,30000000,56443120,94388966,150832086.0,November
750,2017-10-13,2017,Happy Death Day,Horror,Live Action,Contemporary Fiction,5000000,55683845,69326415,125010260.0,October
751,2017-11-10,2017,"Three Billboards Outside Ebbing, Miss…",Black Comedy,Live Action,Contemporary Fiction,12000000,54513740,106966302,161480042.0,November
