,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
960,The Apparition,2011,17000000,4936819,5700462,Contemporary Fiction,Live Action,Horror
961,Red Lights,2011,17700000,49521,14469363,Contemporary Fiction,Live Action,Thriller/Suspense
962,Labor Day,2011,18000000,13371528,818282,Contemporary Fiction,Live Action,Drama
963,Won't Back Down,2011,19000000,5310554,434949,Contemporary Fiction,Live Action,Drama
964,Bad Teacher,2011,19000000,100292856,115156141,Contemporary Fiction,Live Action,Comedy
965,The Devil's Double,2011,19100000,1361512,4604134,Dramatization,Live Action,Drama
966,Lockout,2011,20000000,14326865,19616184,Science Fiction,Live Action,Thriller/Suspense
967,A Dangerous Method,2011,20000000,5702083,9105448,Dramatization,Live Action,Drama
968,The Cold Light of Day,2011,20000000,3763583,21597623,Contemporary Fiction,Live Action,Thriller/Suspense
969,Scary Movie V,2011,20000000,32015787,46598194,Fantasy,Live Action,Comedy
970,Tinker Tailor Soldier Spy,2011,21000000,24149393,57303418,Historical Fiction,Live Action,Thriller/Suspense
971,The Ides of March,2011,23000000,40962534,36773391,Contemporary Fiction,Live Action,Drama
972,Haywire,2011,23000000,18942396,17432304,Contemporary Fiction,Live Action,Thriller/Suspense
973,I Don't Know How She Does It,2011,24000000,9659074,14815389,Contemporary Fiction,Live Action,Comedy
974,Ride Along,2011,25000000,134202565,19531235,Contemporary Fiction,Live Action,Comedy
975,Madea's Big Happy Family,2011,25000000,53345287,815531,Contemporary Fiction,Live Action,Drama
976,The Lucky One,2011,25000000,60457138,36176695,Contemporary Fiction,Live Action,Drama
977,Contraband,2011,25000000,66528000,31878855,Contemporary Fiction,Live Action,Action
978,The Grey,2011,25000000,51580136,29669040,Contemporary Fiction,Live Action,Thriller/Suspense
979,The Sitter,2011,25000000,30542576,8206828,Contemporary Fiction,Live Action,Comedy
980,Carnage,2011,25000000,2546747,35565407,Contemporary Fiction,Live Action,Drama
981,Shark Night 3D,2011,25000000,18877153,0,Contemporary Fiction,Live Action,Horror
982,Ironclad,2011,25000000,0,5297411,Historical Fiction,Live Action,Action
983,Les petits mouchoirs,2011,25000000,205505,48325382,Contemporary Fiction,Live Action,Comedy
984,New Year’s Eve,2011,26000000,54544638,92305635,Contemporary Fiction,Live Action,Romantic Comedy
985,The Raven,2011,26000000,16008272,14593529,Historical Fiction,Live Action,Thriller/Suspense
986,Lawless,2011,26000000,37397291,16996396,Historical Fiction,Live Action,Drama
987,Spy Kids: All the Time in the World,2011,27000000,38536376,42144807,Kids Fiction,Live Action,Adventure
988,Anonymous,2011,27500000,4463292,11352217,Historical Fiction,Live Action,Thriller/Suspense
989,Joyful Noise,2011,27500000,30932113,225801,Contemporary Fiction,Live Action,Musical
990,30 Minutes or Less,2011,28000000,37053924,3912792,Contemporary Fiction,Live Action,Comedy
991,Safe Haven,2011,28000000,71399120,22651831,Contemporary Fiction,Live Action,Drama
992,Xinhai geming,2011,30000000,135739,8457415,Historical Fiction,Live Action,Drama
993,Looper,2011,30000000,66486205,103980200,Science Fiction,Live Action,Action
994,The Vow,2011,30000000,125014030,72604130,Historical Fiction,Live Action,Drama
995,The Three Stooges,2011,30000000,44338224,9714025,Contemporary Fiction,Live Action,Adventure
996,Hope Springs,2011,30000000,63536011,69549284,Contemporary Fiction,Live Action,Romantic Comedy
997,Lee Daniels' The Butler,2011,30000000,116632095,60393403,Dramatization,Live Action,Drama
998,The Five-Year Engagement,2011,30000000,28700285,32923534,Contemporary Fiction,Live Action,Romantic Comedy
999,Bridesmaids,2011,32500000,169211718,120420305,Contemporary Fiction,Live Action,Comedy
1000,The Big Wedding,2011,32500000,21819348,26606623,Contemporary Fiction,Live Action,Romantic Comedy
1001,Safe,2011,33000000,17142080,24353133,Contemporary Fiction,Live Action,Action
1002,Step Up Revolution,2011,33000000,35074677,130477613,Contemporary Fiction,Live Action,Drama
1003,In Time,2011,35000000,37553932,127550020,Science Fiction,Live Action,Thriller/Suspense
1004,J. Edgar,2011,35000000,37306030,47300000,Dramatization,Live Action,Drama
1005,This is 40,2011,35000000,67544505,22676677,Contemporary Fiction,Live Action,Comedy
1006,Premium Rush,2011,35000000,20275446,11117755,Contemporary Fiction,Live Action,Thriller/Suspense
1007,Parker,2011,35000000,17616641,30926747,Contemporary Fiction,Live Action,Thriller/Suspense
1008,Friends with Benefits,2011,35000000,55802754,90793137,Contemporary Fiction,Live Action,Romantic Comedy
1009,Trespass,2011,35000000,16816,769716,Contemporary Fiction,Live Action,Thriller/Suspense
1010,There Be Dragons,2011,36000000,1069334,2951656,Dramatization,Live Action,Drama
1011,Dolphin Tale,2011,37000000,72286779,23781945,Dramatization,Live Action,Drama
1012,The Thing,2011,38000000,16999934,10573144,Fantasy,Live Action,Horror
1013,Riddick,2011,38000000,42025135,52738623,Science Fiction,Live Action,Action
1014,Frankenweenie,2011,39000000,35287788,45863000,Fantasy,Stop-Motion Animation,Adventure
1015,The Odd Life of Timothy Green,2011,40000000,51853450,3395709,Fantasy,Live Action,Drama
1016,A Thousand Words,2011,40000000,18450127,2340359,Contemporary Fiction,Live Action,Comedy
1017,The Impossible,2011,40000000,19019882,150570724,Dramatization,Live Action,Drama
1018,Extremely Loud and Incredibly Close,2011,40000000,31847881,23400000,Historical Fiction,Live Action,Drama
1019,Colombiana,2011,40000000,36665854,35629408,Contemporary Fiction,Live Action,Thriller/Suspense
1020,The Guilt Trip,2011,40000000,37134215,4160459,Contemporary Fiction,Live Action,Comedy
1021,Un monstre à Paris ,2011,40000000,0,27000381,Fantasy,Digital Animation,Adventure
1022,Big Miracle,2011,40000000,20157300,5111380,Dramatization,Live Action,Drama
1023,Final Destination 5,2011,40000000,42587643,112423522,Fantasy,Live Action,Horror
1024,One for the Money,2011,42000000,26414527,9782694,Contemporary Fiction,Live Action,Comedy
1025,Man on a Ledge,2011,42000000,18620000,27068337,Contemporary Fiction,Live Action,Thriller/Suspense
1026,Here Comes the Boom,2011,42000000,45290318,27948940,Contemporary Fiction,Live Action,Comedy
1027,21 Jump Street,2011,42000000,138447667,64364762,Contemporary Fiction,Live Action,Comedy
